Region,County District - District Name,Initial Allocation (2/3),Remaining Allocation (1/3),Total Allocation,
4,101912  HOUSTON ISD,"536,304,136","268,152,079","804,456,215",
10,057905  DALLAS ISD,"361,931,065","180,965,533","542,896,598",
11,220905  FORT WORTH ISD,"174,370,481","87,185,241","261,555,722",
4,101902  ALDINE ISD,"157,211,282","78,605,641","235,816,923",
20,015907  SAN ANTONIO ISD,"138,628,680","69,314,340","207,943,020",
19,071902  EL PASO ISD,"127,107,964","63,553,982","190,661,946",
4,101907  CYPRESS-FAIRBANKS ISD,"126,159,565","63,079,782","189,239,347",
1,031901  BROWNSVILLE ISD,"123,567,318","61,783,659","185,350,977",
20,015915  NORTHSIDE ISD,"115,303,524","57,651,762","172,955,286",
4,101903  ALIEF ISD,"112,330,487","56,165,244","168,495,731",
1,"108807 IDEA PUBLIC SCHOOLS
IDEA PUBLIC SCHOOLS","104,696,543","52,348,272","157,044,815",
13,227901  AUSTIN ISD,"103,725,376","51,862,688","155,588,064",
1,108912  LA JOYA ISD,"98,223,465","49,111,732","147,335,197",
4,101917  PASADENA ISD,"98,165,567","49,082,783","147,248,350",
19,071905  YSLETA ISD,"93,086,789","46,543,394","139,630,183",
11,220901  ARLINGTON ISD,"89,778,788","44,889,394","134,668,182",
1,240903  UNITED ISD,"85,025,088","42,512,544","127,537,632",
1,108904  EDINBURG CISD,"84,734,509","42,367,255","127,101,764",
1,240901  LAREDO ISD,"82,029,094","41,014,547","123,043,641",
1,108909  PHARR-SAN JUAN-ALAMO ISD,"80,374,061","40,187,030","120,561,091",
20,015910  NORTH EAST ISD,"78,068,151","39,034,075","117,102,226",
10,057909  GARLAND ISD,"73,854,145","36,927,072","110,781,217",
4,101919  SPRING ISD,"67,700,295","33,850,148","101,550,443",
19,071909  SOCORRO ISD,"66,157,935","33,078,968","99,236,903",
4,079907  FORT BEND ISD,"63,138,743","31,569,372","94,708,115",
4,227820  KIPP TEXAS PUBLIC SCHOOLS,"62,973,240","31,486,620","94,459,860",
2,178904  CORPUS CHRISTI ISD,"62,237,370","31,118,685","93,356,055",
1,108906  MCALLEN ISD,"60,175,137","30,087,569","90,262,706",
12,014906  KILLEEN ISD,"57,560,598","28,780,299","86,340,897",
4,101920  SPRING BRANCH ISD,"57,337,513","28,668,756","86,006,269",
10,057914  MESQUITE ISD,"54,878,751","27,439,376","82,318,127",
1,108902  DONNA ISD,"50,434,896","25,217,448","75,652,344",
17,152901  LUBBOCK ISD,"50,141,891","25,070,945","75,212,836",
10,"057912 IRVING
IRVING ISD","48,631,189","24,315,594","72,946,783",
16,188901  AMARILLO ISD,"48,473,155","24,236,577","72,709,732",
4,101915  KLEIN ISD,"48,454,489","24,227,245","72,681,734",
10,057916  RICHARDSON ISD,"46,384,787","23,192,394","69,577,181",
1,108908  MISSION CISD,"45,897,788","22,948,894","68,846,682",
4,101914  KATY ISD,"44,788,903","22,394,451","67,183,354",
1,031903  HARLINGEN CISD,"43,802,541","21,901,271","65,703,812",
6,170902  CONROE ISD,"43,137,201","21,568,601","64,705,802",
1,108913  WESLACO ISD,"42,137,287","21,068,644","63,205,931",
4,101910  GALENA PARK ISD,"40,032,966","20,016,483","60,049,449",
5,123910  BEAUMONT ISD,"38,072,811","19,036,405","57,109,216",
18,068901  ECTOR COUNTY ISD,"37,277,993","18,638,996","55,916,989",
10,057803  UPLIFT EDUCATION,"35,606,841","17,803,420","53,410,261",
10,057910  GRAND PRAIRIE ISD,"35,426,179","17,713,089","53,139,268",
12,161914  WACO ISD,"33,287,678","16,643,839","49,931,517",
4,101845  YES PREP PUBLIC SCHOOLS INC,"33,116,547","16,558,273","49,674,820",
20,015905  EDGEWOOD ISD,"31,587,069","15,793,535","47,380,604",
4,101911  GOOSE CREEK CISD,"30,915,451","15,457,725","46,373,176",
20,159901  EAGLE PASS ISD,"30,869,155","15,434,577","46,303,732",
1,031912  SAN BENITO CISD,"30,143,875","15,071,938","45,215,813",
7,212905  TYLER ISD,"29,912,605","14,956,303","44,868,908",
20,015916  JUDSON ISD,"29,063,921","14,531,961","43,595,882",
10,043910  PLANO ISD,"28,822,095","14,411,048","43,233,143",
6,021902  BRYAN ISD,"28,053,907","14,026,954","42,080,861",
14,221901  ABILENE ISD,"28,047,543","14,023,772","42,071,315",
1,214901  RIO GRANDE CITY CISD,"27,922,228","13,961,114","41,883,342",
10,"057848 ILTEXAS
INTERNATIONAL LEADERSHIP OF TEXAS (ILTEXAS)","26,193,853","13,096,927","39,290,780",
11,220902  BIRDVILLE ISD,"26,004,497","13,002,248","39,006,745",
20,015904  HARLANDALE ISD,"25,813,289","12,906,644","38,719,933",
10,057903  CARROLLTON-FARMERS BRANCH ISD,"25,455,742","12,727,871","38,183,613",
11,061902  LEWISVILLE ISD,"25,016,900","12,508,450","37,525,350",
4,084910  CLEAR CREEK ISD,"24,344,051","12,172,025","36,516,076",
19,071901  CLINT ISD,"23,412,470","11,706,235","35,118,705",
4,101913  HUMBLE ISD,"23,303,619","11,651,809","34,955,428",
18,165901  MIDLAND ISD,"23,115,403","11,557,701","34,673,104",
1,214903  ROMA ISD,"22,453,589","11,226,795","33,680,384",
20,015912  SOUTHWEST ISD,"21,956,259","10,978,130","32,934,389",
4,079901  LAMAR CISD,"21,772,671","10,886,335","32,659,006",
15,226903  SAN ANGELO ISD,"21,667,411","10,833,706","32,501,117",
9,243905  WICHITA FALLS ISD,"20,815,491","10,407,746","31,223,237",
11,220916  HURST-EULESS-BEDFORD ISD,"20,452,557","10,226,278","30,678,835",
13,227904  PFLUGERVILLE ISD,"19,804,686","9,902,343","29,707,029",
11,220908  MANSFIELD ISD,"19,680,216","9,840,108","29,520,324",
13,246909  ROUND ROCK ISD,"19,411,309","9,705,655","29,116,964",
20,015908  SOUTH SAN ANTONIO ISD,"19,147,861","9,573,930","28,721,791",
3,235902  VICTORIA ISD,"18,933,480","9,466,740","28,400,220",
1,031906  LOS FRESNOS CISD,"18,919,647","9,459,824","28,379,471",
5,123907  PORT ARTHUR ISD,"18,431,007","9,215,503","27,646,510",
1,108907  MERCEDES ISD,"18,261,396","9,130,698","27,392,094",
1,108903  EDCOUCH-ELSA ISD,"18,170,115","9,085,057","27,255,172",
15,233901  SAN FELIPE-DEL RIO CISD,"17,316,403","8,658,202","25,974,605",
12,014909  TEMPLE ISD,"17,103,573","8,551,787","25,655,360",
11,220912  CROWLEY ISD,"16,688,009","8,344,004","25,032,013",
10,057907  DUNCANVILLE ISD,"16,606,958","8,303,479","24,910,437",
7,174904  NACOGDOCHES ISD,"16,472,713","8,236,356","24,709,069",
13,227910  DEL VALLE ISD,"16,356,382","8,178,191","24,534,573",
11,061901  DENTON ISD,"15,140,817","7,570,408","22,711,225",
4,084906  TEXAS CITY ISD,"14,946,882","7,473,441","22,420,323",
4,020901  ALVIN ISD,"14,176,433","7,088,216","21,264,649",
4,020905  BRAZOSPORT ISD,"14,097,123","7,048,562","21,145,685",
1,108911  SHARYLAND ISD,"13,912,399","6,956,199","20,868,598",
8,019907  TEXARKANA ISD,"13,757,947","6,878,973","20,636,920",
6,170906  MAGNOLIA ISD,"13,344,729","6,672,364","20,017,093",
7,092903  LONGVIEW ISD,"13,106,515","6,553,257","19,659,772",
12,161807  HARMONY SCIENCE ACAD (WACO),"13,032,163","6,516,081","19,548,244",
6,170908  NEW CANEY ISD,"12,950,927","6,475,463","19,426,390",
7,003903  LUFKIN ISD,"12,423,679","6,211,840","18,635,519",
20,015822  JUBILEE ACADEMIES,"12,392,707","6,196,354","18,589,061",
4,084901  DICKINSON ISD,"12,054,226","6,027,113","18,081,339",
4,101905  CHANNELVIEW ISD,"11,889,158","5,944,579","17,833,737",
11,220907  KELLER ISD,"11,842,602","5,921,301","17,763,903",
13,105906  HAYS CISD,"11,602,592","5,801,296","17,403,888",
2,125901  ALICE ISD,"11,472,943","5,736,472","17,209,415",
1,253901  ZAPATA COUNTY ISD,"11,128,945","5,564,472","16,693,417",
14,221801  TEXAS COLLEGE PREPARATORY ACADEMIES,"11,018,112","5,509,056","16,527,168",
10,043907  MCKINNEY ISD,"11,012,514","5,506,257","16,518,771",
13,105902  SAN MARCOS CISD,"10,981,261","5,490,631","16,471,892",
4,101908  DEER PARK ISD,"10,931,398","5,465,699","16,397,097",
20,232903  UVALDE CISD,"10,779,503","5,389,751","16,169,254",
10,057906  DESOTO ISD,"10,645,337","5,322,668","15,968,005",
13,246913  LEANDER ISD,"10,540,798","5,270,399","15,811,197",
1,108916  VALLEY VIEW ISD,"10,479,143","5,239,572","15,718,715",
4,084902  GALVESTON ISD,"10,464,535","5,232,268","15,696,803",
19,071904  SAN ELIZARIO ISD,"10,423,897","5,211,949","15,635,846",
20,046902  COMAL ISD,"10,290,672","5,145,336","15,436,008",
13,011901  BASTROP ISD,"10,197,054","5,098,527","15,295,581",
4,101924  SHELDON ISD,"10,151,613","5,075,807","15,227,420",
20,015911  EAST CENTRAL ISD,"10,059,481","5,029,741","15,089,222",
7,102902  MARSHALL ISD,"10,027,563","5,013,782","15,041,345",
20,015828  HARMONY SCIENCE ACAD (SAN ANTONIO),"9,818,551","4,909,275","14,727,826",
20,015917  SOUTHSIDE ISD,"9,717,989","4,858,995","14,576,984",
10,057913  LANCASTER ISD,"9,543,125","4,771,563","14,314,688",
6,236902  HUNTSVILLE ISD,"9,368,212","4,684,106","14,052,318",
10,091906  SHERMAN ISD,"8,898,792","4,449,396","13,348,188",
20,094901  SEGUIN ISD,"8,869,501","4,434,750","13,304,251",
1,108905  HIDALGO ISD,"8,811,038","4,405,519","13,216,557",
11,220918  EAGLE MT-SAGINAW ISD,"8,803,138","4,401,569","13,204,707",
4,101846  HARMONY SCIENCE ACADEMY,"8,792,797","4,396,399","13,189,196",
1,108808  VANGUARD ACADEMY,"8,754,626","4,377,313","13,131,939",
17,095905  PLAINVIEW ISD,"8,613,847","4,306,923","12,920,770",
11,220904  EVERMAN ISD,"8,594,721","4,297,360","12,892,081",
6,021901  COLLEGE STATION ISD,"8,591,464","4,295,732","12,887,196",
8,225902  MOUNT PLEASANT ISD,"8,574,384","4,287,192","12,861,576",
4,020908  PEARLAND ISD,"8,548,925","4,274,462","12,823,387",
12,175903  CORSICANA ISD,"8,527,323","4,263,661","12,790,984",
10,057804  TEXANS CAN ACADEMIES,"8,470,506","4,235,253","12,705,759",
4,101858  HARMONY SCHOOL OF EXCELLENCE,"8,402,052","4,201,026","12,603,078",
19,071907  CANUTILLO ISD,"8,394,078","4,197,039","12,591,117",
2,178909  ROBSTOWN ISD,"8,337,356","4,168,678","12,506,034",
19,071903  FABENS ISD,"8,290,715","4,145,357","12,436,072",
7,037904  JACKSONVILLE ISD,"8,209,159","4,104,579","12,313,738",
10,057904  CEDAR HILL ISD,"8,112,899","4,056,450","12,169,349",
10,116905  GREENVILLE ISD,"8,093,463","4,046,732","12,140,195",
1,031905  LA FERIA ISD,"7,957,377","3,978,688","11,936,065",
13,227907  MANOR ISD,"7,822,060","3,911,030","11,733,090",
4,146901  CLEVELAND ISD,"7,784,514","3,892,257","11,676,771",
11,126903  CLEBURNE ISD,"7,769,120","3,884,560","11,653,680",
10,070903  ENNIS ISD,"7,685,633","3,842,817","11,528,450",
10,057807  LIFE SCHOOL,"7,507,878","3,753,939","11,261,817",
12,014903  BELTON ISD,"7,411,339","3,705,669","11,117,008",
2,137901  KINGSVILLE ISD,"7,386,009","3,693,005","11,079,014",
1,031909  POINT ISABEL ISD,"7,219,521","3,609,760","10,829,281",
8,139909  PARIS ISD,"7,110,209","3,555,104","10,665,313",
10,057813  TRINITY BASIN PREPARATORY,"7,045,677","3,522,839","10,568,516",
3,158901  BAY CITY ISD,"7,030,594","3,515,297","10,545,891",
1,031916  SOUTH TEXAS ISD,"7,018,062","3,509,031","10,527,093",
11,111901  GRANBURY ISD,"7,008,461","3,504,231","10,512,692",
19,071806  HARMONY SCIENCE ACAD (EL PASO),"6,809,304","3,404,652","10,213,956",
2,013901  BEEVILLE ISD,"6,792,490","3,396,245","10,188,735",
20,015909  SOMERSET ISD,"6,689,441","3,344,721","10,034,162",
20,133903  KERRVILLE ISD,"6,652,141","3,326,070","9,978,211",
1,245903  RAYMONDVILLE ISD,"6,642,050","3,321,025","9,963,075",
6,170904  WILLIS ISD,"6,636,017","3,318,008","9,954,025",
12,050910  COPPERAS COVE ISD,"6,614,424","3,307,212","9,921,636",
4,237904  WALLER ISD,"6,586,649","3,293,324","9,879,973",
10,070801  WAXAHACHIE FAITH FAMILY ACADEMY,"6,478,197","3,239,099","9,717,296",
6,187907  LIVINGSTON ISD,"6,460,888","3,230,444","9,691,332",
18,114901  BIG SPRING ISD,"6,413,321","3,206,660","9,619,981",
4,101828  HOUSTON GATEWAY ACADEMY INC,"6,328,413","3,164,207","9,492,620",
10,129906  TERRELL ISD,"6,326,992","3,163,496","9,490,488",
11,072801  PREMIER HIGH SCHOOLS,"6,324,811","3,162,405","9,487,216",
17,152907  FRENSHIP ISD,"6,319,153","3,159,576","9,478,729",
4,020902  ANGLETON ISD,"6,196,493","3,098,247","9,294,740",
20,254901  CRYSTAL CITY ISD,"6,181,485","3,090,743","9,272,228",
7,092904  PINE TREE ISD,"6,132,868","3,066,434","9,199,302",
7,102904  HALLSVILLE ISD,"6,129,111","3,064,555","9,193,666",
13,046901  NEW BRAUNFELS ISD,"6,115,438","3,057,719","9,173,157",
11,220906  GRAPEVINE-COLLEYVILLE ISD,"6,090,449","3,045,224","9,135,673",
20,064903  CARRIZO SPRINGS CISD,"5,951,095","2,975,548","8,926,643",
11,184903  WEATHERFORD ISD,"5,925,236","2,962,618","8,887,854",
10,070912  WAXAHACHIE ISD,"5,899,686","2,949,843","8,849,529",
16,059901  HEREFORD ISD,"5,897,225","2,948,612","8,845,837",
5,181906  WEST ORANGE-COVE CISD,"5,795,853","2,897,926","8,693,779",
13,227816  HARMONY SCIENCE ACADEMY (AUSTIN),"5,768,237","2,884,119","8,652,356",
10,043901  ALLEN ISD,"5,745,299","2,872,650","8,617,949",
11,126902  BURLESON ISD,"5,688,923","2,844,461","8,533,384",
20,015830  BROOKS ACADEMIES OF TEXAS,"5,683,334","2,841,667","8,525,001",
11,049901  GAINESVILLE ISD,"5,598,166","2,799,083","8,397,249",
2,004901  ARANSAS COUNTY ISD,"5,590,577","2,795,289","8,385,866",
10,107901  ATHENS ISD,"5,576,409","2,788,205","8,364,614",
11,220915  AZLE ISD,"5,517,976","2,758,988","8,276,964",
10,091903  DENISON ISD,"5,512,868","2,756,434","8,269,302",
1,108910  PROGRESO ISD,"5,512,323","2,756,161","8,268,484",
4,101916  LA PORTE ISD,"5,507,765","2,753,883","8,261,648",
13,246904  GEORGETOWN ISD,"5,497,349","2,748,675","8,246,024",
1,024901  BROOKS COUNTY ISD,"5,474,327","2,737,163","8,211,490",
3,241903  EL CAMPO ISD,"5,473,206","2,736,603","8,209,809",
11,220920  WHITE SETTLEMENT ISD,"5,410,315","2,705,158","8,115,473",
11,220917  CASTLEBERRY ISD,"5,339,311","2,669,655","8,008,966",
8,112901  SULPHUR SPRINGS ISD,"5,323,086","2,661,543","7,984,629",
20,007905  PLEASANTON ISD,"5,322,065","2,661,033","7,983,098",
7,001907  PALESTINE ISD,"5,320,495","2,660,247","7,980,742",
4,101921  TOMBALL ISD,"5,202,729","2,601,364","7,804,093",
11,182903  MINERAL WELLS ISD,"5,181,051","2,590,526","7,771,577",
4,101906  CROSBY ISD,"5,170,835","2,585,418","7,756,253",
12,161906  LA VEGA ISD,"5,120,402","2,560,201","7,680,603",
6,239901  BRENHAM ISD,"5,111,987","2,555,994","7,667,981",
13,028902  LOCKHART ISD,"5,108,440","2,554,220","7,662,660",
10,129905  MABANK ISD,"5,061,784","2,530,892","7,592,676",
5,121904  JASPER ISD,"5,052,654","2,526,327","7,578,981",
20,094902  SCHERTZ-CIBOLO-U CITY ISD,"5,044,474","2,522,237","7,566,711",
4,101862  HARMONY SCHOOL OF SCIENCE - HOUSTON,"5,022,767","2,511,383","7,534,150",
3,029901  CALHOUN COUNTY ISD,"5,006,658","2,503,329","7,509,987",
2,205904  MATHIS ISD,"4,980,223","2,490,111","7,470,334",
12,161921  CONNALLY ISD,"4,952,492","2,476,246","7,428,738",
11,061911  NORTHWEST ISD,"4,937,213","2,468,607","7,405,820",
10,199901  ROCKWALL ISD,"4,934,337","2,467,169","7,401,506",
5,181907  VIDOR ISD,"4,922,565","2,461,283","7,383,848",
4,146902  DAYTON ISD,"4,921,225","2,460,612","7,381,837",
4,101838  SOUTHWEST SCHOOL,"4,907,372","2,453,686","7,361,058",
13,011902  ELGIN ISD,"4,727,365","2,363,683","7,091,048",
4,101806  RAUL YZAGUIRRE SCHOOLS FOR SUCCESS,"4,707,159","2,353,579","7,060,738",
8,032902  PITTSBURG ISD,"4,662,039","2,331,019","6,993,058",
15,025902  BROWNWOOD ISD,"4,592,019","2,296,010","6,888,029",
17,110902  LEVELLAND ISD,"4,566,369","2,283,185","6,849,554",
7,212909  CHAPEL HILL ISD,"4,539,314","2,269,657","6,808,971",
17,083903  SEMINOLE ISD,"4,523,401","2,261,700","6,785,101",
10,043914  WYLIE ISD,"4,505,055","2,252,527","6,757,582",
7,092902  KILGORE ISD,"4,502,243","2,251,122","6,753,365",
20,082903  PEARSALL ISD,"4,473,657","2,236,829","6,710,486",
1,245902  LYFORD CISD,"4,422,853","2,211,427","6,634,280",
2,178914  FLOUR BLUFF ISD,"4,337,271","2,168,635","6,505,906",
6,093904  NAVASOTA ISD,"4,323,243","2,161,621","6,484,864",
1,031911  RIO HONDO ISD,"4,309,905","2,154,952","6,464,857",
16,191901  CANYON ISD,"4,272,509","2,136,254","6,408,763",
4,101814  THE VARNETT PUBLIC SCHOOL,"4,265,880","2,132,940","6,398,820",
11,220910  LAKE WORTH ISD,"4,222,881","2,111,440","6,334,321",
10,129903  KAUFMAN ISD,"4,204,575","2,102,288","6,306,863",
7,210901  CENTER ISD,"4,185,125","2,092,562","6,277,687",
7,212906  WHITEHOUSE ISD,"4,152,731","2,076,366","6,229,097",
13,089901  GONZALES ISD,"4,147,823","2,073,912","6,221,735",
13,027904  MARBLE FALLS ISD,"4,136,072","2,068,036","6,204,108",
10,043905  FRISCO ISD,"4,068,083","2,034,042","6,102,125",
6,113901  CROCKETT ISD,"4,023,188","2,011,594","6,034,782",
8,034901  ATLANTA ISD,"4,019,787","2,009,893","6,029,680",
8,019908  LIBERTY-EYLAU ISD,"4,000,986","2,000,493","6,001,479",
16,090904  PAMPA ISD,"3,972,125","1,986,062","5,958,187",
16,171901  DUMAS ISD,"3,922,071","1,961,036","5,883,107",
20,015831  SCHOOL OF SCIENCE AND TECHNOLOGY DISCOVERY,"3,916,483","1,958,242","5,874,725",
18,195901  PECOS-BARSTOW-TOYAH ISD,"3,861,027","1,930,513","5,791,540",
7,107902  BROWNSBORO ISD,"3,795,140","1,897,570","5,692,710",
2,178912  TULOSO-MIDWAY ISD,"3,775,794","1,887,897","5,663,691",
7,201902  HENDERSON ISD,"3,763,332","1,881,666","5,644,998",
12,147903  MEXIA ISD,"3,760,731","1,880,365","5,641,096",
4,237905  ROYAL ISD,"3,705,564","1,852,782","5,558,346",
7,212903  LINDALE ISD,"3,700,271","1,850,136","5,550,407",
13,227825  AUSTIN ACHIEVE PUBLIC SCHOOLS,"3,679,074","1,839,537","5,518,611",
5,100904  SILSBEE ISD,"3,667,388","1,833,694","5,501,082",
12,141901  LAMPASAS ISD,"3,659,739","1,829,869","5,489,608",
2,066902  SAN DIEGO ISD,"3,657,327","1,828,664","5,485,991",
2,178915  WEST OSO ISD,"3,645,150","1,822,575","5,467,725",
11,126905  JOSHUA ISD,"3,620,366","1,810,183","5,430,549",
20,163908  MEDINA VALLEY ISD,"3,608,505","1,804,252","5,412,757",
11,072903  STEPHENVILLE ISD,"3,599,839","1,799,920","5,399,759",
10,116908  QUINLAN ISD,"3,559,372","1,779,686","5,339,058",
17,058906  LAMESA ISD,"3,513,691","1,756,846","5,270,537",
6,166901  CAMERON ISD,"3,512,815","1,756,408","5,269,223",
5,123908  PORT NECHES-GROVES ISD,"3,500,579","1,750,289","5,250,868",
15,226801  TEXAS LEADERSHIP PUBLIC SCHOOLS,"3,499,893","1,749,947","5,249,840",
20,247901  FLORESVILLE ISD,"3,496,597","1,748,298","5,244,895",
6,154901  MADISONVILLE CISD,"3,479,462","1,739,731","5,219,193",
17,223901  BROWNFIELD ISD,"3,469,601","1,734,801","5,204,402",
2,205906  SINTON ISD,"3,443,501","1,721,751","5,165,252",
14,177902  SWEETWATER ISD,"3,420,403","1,710,202","5,130,605",
2,205902  GREGORY-PORTLAND ISD,"3,400,857","1,700,429","5,101,286",
5,146906  LIBERTY ISD,"3,380,101","1,690,050","5,070,151",
20,015838  COMPASS ROSE ACADEMY,"3,340,053","1,670,027","5,010,080",
7,230902  GILMER ISD,"3,308,991","1,654,495","4,963,486",
14,208902  SNYDER ISD,"3,305,403","1,652,702","4,958,105",
18,186902  FORT STOCKTON ISD,"3,303,808","1,651,904","4,955,712",
13,027903  BURNET CISD,"3,297,719","1,648,860","4,946,579",
10,057829  A+ ACADEMY,"3,281,075","1,640,537","4,921,612",
10,"057830 INSPIRIED VISION ACADEMY
INSPIRED VISION ACADEMY","3,266,337","1,633,168","4,899,505",
11,126901  ALVARADO ISD,"3,232,843","1,616,421","4,849,264",
2,205901  ARANSAS PASS ISD,"3,228,785","1,614,393","4,843,178",
5,123807  BOB HOPE SCHOOL,"3,219,640","1,609,820","4,829,460",
4,101802  SER-NINOS CHARTER SCHOOL,"3,203,081","1,601,540","4,804,621",
1,031914  SANTA ROSA ISD,"3,198,383","1,599,192","4,797,575",
4,237902  HEMPSTEAD ISD,"3,162,028","1,581,014","4,743,042",
6,170907  SPLENDORA ISD,"3,154,219","1,577,109","4,731,328",
6,204904  SHEPHERD ISD,"3,150,791","1,575,396","4,726,187",
5,123905  NEDERLAND ISD,"3,150,401","1,575,201","4,725,602",
12,161903  MIDWAY ISD,"3,149,045","1,574,523","4,723,568",
10,057835  GOLDEN RULE CHARTER SCHOOL,"3,132,431","1,566,216","4,698,647",
13,246911  TAYLOR ISD,"3,097,631","1,548,816","4,646,447",
10,234907  WILLS POINT ISD,"3,095,480","1,547,740","4,643,220",
10,129902  FORNEY ISD,"3,047,348","1,523,674","4,571,022",
7,183902  CARTHAGE ISD,"3,040,675","1,520,337","4,561,012",
2,125903  ORANGE GROVE ISD,"3,021,383","1,510,692","4,532,075",
5,181908  LITTLE CYPRESS-MAURICEVILLE CISD,"3,000,737","1,500,368","4,501,105",
6,170903  MONTGOMERY ISD,"2,989,971","1,494,985","4,484,956",
18,189902  PRESIDIO ISD,"2,968,589","1,484,294","4,452,883",
8,155901  JEFFERSON ISD,"2,941,629","1,470,814","4,412,443",
11,061914  LITTLE ELM ISD,"2,935,690","1,467,845","4,403,535",
7,003905  DIBOLL ISD,"2,922,643","1,461,321","4,383,964",
7,003902  HUDSON ISD,"2,893,091","1,446,546","4,339,637",
18,002901  ANDREWS ISD,"2,884,276","1,442,138","4,326,414",
13,086901  FREDERICKSBURG ISD,"2,881,640","1,440,820","4,322,460",
4,079910  STAFFORD MSD,"2,875,211","1,437,606","4,312,817",
3,241904  WHARTON ISD,"2,856,100","1,428,050","4,284,150",
4,101853  PROMISE COMMUNITY SCHOOL,"2,833,988","1,416,994","4,250,982",
10,057846  LEGACY PREPARATORY,"2,829,855","1,414,928","4,244,783",
7,092901  GLADEWATER ISD,"2,815,657","1,407,829","4,223,486",
20,010902  BANDERA ISD,"2,799,509","1,399,754","4,199,263",
1,124901  JIM HOGG COUNTY ISD,"2,793,955","1,396,978","4,190,933",
12,109904  HILLSBORO ISD,"2,788,352","1,394,176","4,182,528",
3,062901  CUERO ISD,"2,771,723","1,385,861","4,157,584",
10,070911  RED OAK ISD,"2,769,477","1,384,738","4,154,215",
20,130901  BOERNE ISD,"2,765,359","1,382,680","4,148,039",
9,243901  BURKBURNETT ISD,"2,747,439","1,373,720","4,121,159",
13,227803  WAYSIDE SCHOOLS,"2,737,833","1,368,917","4,106,750",
13,150901  LLANO ISD,"2,733,576","1,366,788","4,100,364",
